,Location,new_cases,new_deaths,new_vaccination
0,Samoa,200144,235.0,143350.0
1,Slovakia,5449270,18602.81055900621,1225722.0
2,Namibia,2587344,4246.0,473966.0
3,Sao Tome and Principe,223364,88.5,82041696.0
4,Belgium,11632334,30625.3125,25053874.0
5,Vanuatu,314464,163.0,180206.0
6,Brazil,213993441,650264.0,398333205.0
7,South Sudan,11381377,2777.0,7056357.0
8,Guinea-Bissau,2015490,183.0,1195912.0
9,Trinidad and Tobago,1403374,3647.851015801354,2449545.0
10,Cayman Islands,66498,18.5,2357994.0
11,Iceland,368792,992.0000000000001,33041863.0
12,Djibouti,1002197,637.5,795795.0
13,Yemen,30490639,81864.99999999997,73352.0
14,Panama,4381583,8118.0,8639728.0
15,Romania,19127772,63705.5,17265550.0
16,Bonaire Sint Eustatius and Saba,26445,283.49999999999994,18884600.0
17,Sudan,44909351,3910.0,10030431.0
18,Bermuda,62092,141.0,61367586.0
19,Iran,85028760,137267.0,181318989.0
20,Kosovo,1782115,3120.5,3200646.0
21,Lebanon,6769151,10376.0,5706594.0
22,Zambia,18920657,3962.5,3583561.0
23,Antigua and Barbuda,98728,147.5,3479066.0
24,Moldova,4024025,10733.131578947368,2975090.0
25,Kenya,54985702,5760.0,48374293.0
26,Madagascar,28427333,1477.2857142857142,7090672.0
27,Portugal,10167923,23343.0,26735981.0
28,Peru,33359415,212088.5,62410067.0
29,Saint Helena,6095,148.33971774193537,162058.0
30,Turkmenistan,6117933,18101.75,36600.0
31,Paraguay,7219641,18428.5,5018733.0
32,Sierra Leone,8141343,136.5,2246244.0
33,Netherlands,17173094,21740.0,735.0
34,Serbia,6871547,15330.0,21106007.0
35,Argentina,45605823,126423.5,101639665.0
36,Myanmar,54806014,19381.5,1306250.0
37,Ecuador,17888474,22662.5,33208776.0
38,Maldives,543620,3313.0000000000005,1205402.0
39,Andorra,77354,191.0,1605815.0
40,Albania,2872934,4411.5,3002796.0
41,Burundi,12255429,44.5,88628.0
42,Seychelles,98910,5491.000000000002,2092349.0
43,Nepal,29674920,12068.859649122807,31386813.0
44,Mexico,130262220,312413.0885167464,230757159.0
45,Bolivia,11832936,21452.0,13315899.0
46,Wallis and Futuna,11094,8804.499999999998,0.0
47,Senegal,17196308,1993.0,10205662.0
48,Ethiopia,117876226,7490.0,44210502.0
49,Kyrgyzstan,6628347,3419.0,3736980.0
50,United Kingdom,68207114,161040.0,194636403.0
51,Jersey,101073,43683.7962466488,45173532.0
52,Belize,404915,793.6875,13862348.0
53,Guatemala,18249868,17052.5,17673920.0
54,Afghanistan,39835428,7617.0,2974970.0
55,Israel,9291000,10275.0,20261870.0
56,Mauritania,4775110,995.0,5319663.0
57,Solomon Islands,703995,2690.9999999999995,191139.0
58,Malawi,19647681,2674.214285714286,4647790.0
59,Kazakhstan,18994958,20017.3125,48928473.0
60,Liberia,5180208,303.5,5207174.0
61,Sweden,10160159,17691.0,23121050.0
62,Bulgaria,6896655,35700.5,5308289.0
63,Luxembourg,634814,10991.5,1502831.0
64,Monaco,39520,271.5,1329662.0
65,Georgia,3979773,16250.0,3503569.0
66,French Polynesia,282534,17748.999999999996,701555.0
67,Palau,18174,1735.9999999999998,988932.0
68,Montenegro,628051,2692.5,757428.0
69,Barbados,287708,401.5,1048869.0
70,Bosnia and Herzegovina,3263459,15570.0,18157337.0
71,Canada,38067913,36758.5,81440199.0
72,Saint Kitts and Nevis,53546,389.16028225806446,484830.0
73,Rwanda,13276517,31140.499999999996,45992778.0
74,Dominica,72172,316.0,523268.0
75,Laos,7379358,1239.5,35444875.0
76,Northern Cyprus,360000,1952.9464285714287,151904.0
77,Oman,5223376,5128.0,65724117.0
78,North Macedonia,2082661,36886.0,2682716.0
79,Cuba,11317498,8563.5,115703916.0
80,Suriname,591798,1337.0,2165785.0
81,Russia,145912022,348381.0,253351984.0
82,Guernsey,63385,1910.9724137931032,418749.0
83,Japan,126050796,24151.0,278206344.0
84,Saint Vincent and the Grenadines,111269,259.5,379561.0
85,India,1393409033,510127.0,1848364248.0
86,Sri Lanka,21497306,20994.5,39315135.0
87,Turks and Caicos Islands,39226,79.25000000000009,141000.0
88,Armenia,2968128,11983.5,1908885.0
89,Morocco,37344787,16018.0,72073326.0
90,Greenland,56868,19223.500000000025,159106.0
91,Macao,658391,771.0,1448720.0
92,South Korea,51305184,18805.0,120014804.0
93,Kiribati,121388,278.0,520200.0
94,Chile,19212362,42765.5,61950141.0
95,Marshall Islands,59618,491.0,1243212.0
96,Cambodia,16946446,3236.5,35819643.0
97,Ireland,4982904,6648.0,10663586.0
98,Tuvalu,11925,52.819672131147534,35800.0
99,Grenada,113015,359.5,2766810.0
100,Togo,8478242,295.0,1704402.0
101,Bahamas,396914,907.0,2118552.0
102,Egypt,104258327,24442.5,146416674.0
103,Australia,25788217,40448.0,55496520.0
104,Sint Maarten (Dutch part),43421,1729.6894409937888,497370.0
105,Eritrea,3601462,379.0,226416.0
106,Malta,516100,626.5,1640053.0
107,United States,332915074,955962.0,555236302.0
108,Turkey,85042736,94960.0,232698152.0
109,Burkina Faso,21497097,615.0,67962.0
110,Cape Verde,561901,596.0,1595025.0
111,Costa Rica,5139053,8069.696666666667,1046153.0
112,Slovenia,2078723,7106.0,3513100.0
