,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,shamsi,month
71639,IRN,Asia,Iran,2/19/2020,2.0,2.0,1.9387142857142856,2.0,2.0,0.32657142857142857,0.024,0.024,1.2951259842519676,0.024,0.024,0.03497637795275588,1.0029212342184608,281.0045009266614,14.904465184008473,32.31151482767834,60.38577932139994,28.380816220431505,5.716621003379257,327.7601270849881,148.87245671167594,18286.254950495044,189790.0,2.232,0.14620544554455445,26866.558569667075,0.1775228113440197,0.18252142857142858,5.506527093596059,people tested,0.0,0.0,100691.0,56539.0,3000.0,3000.0,0.0,0.0,0.12,0.07,35.0,3000.0,0.004,0.0,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051063,1.5,76.68,0.783,-2653.3118893212277,-4.1308517077388665,2.8213705144833554,-30.95789060971896,1398-11-30,11
71640,IRN,Asia,Iran,2/20/2020,5.0,3.0,3.8774285714285712,2.0,0.0,0.6531428571428571,0.059,0.035,1.1059383202099866,0.024,0.0,0.0336469816272964,1.0029212342184608,280.86325125761186,14.903631321154355,32.30189687416511,60.347624899812985,28.393033532622823,5.7190818819859635,327.8692083664284,148.83980090018534,18128.889851485146,189790.0,2.232,0.1457413366336634,26558.019728729967,0.1765129469790382,0.18252857142857143,5.5064039408867,people tested,0.0,0.0,100691.0,56539.0,3000.0,3000.0,0.0,0.0,0.12,0.07,35.0,3000.0,0.004,2.78,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051063,1.5,76.68,0.783,-2654.483916990921,-4.133138780804151,2.8135278858625163,-31.03342078728923,1398-12-01,12
71641,IRN,Asia,Iran,2/21/2020,18.0,13.0,5.816142857142857,4.0,2.0,0.9797142857142858,0.212,0.153,0.9167506561679772,0.047,0.024,0.03231758530183715,1.0029212342184608,280.7220015885623,14.902797458300238,32.29227892065188,60.30947047822602,28.40525084481414,5.721542760592669,327.9782896478687,148.80714508869474,17971.524752475234,189790.0,2.232,0.1452772277227723,26249.48088779283,0.17550308261405667,0.1825357142857143,5.50628078817734,people tested,0.0,0.0,100691.0,56539.0,3000.0,3000.0,0.0,0.0,0.12,0.07,35.0,3000.0,0.004,2.78,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051063,1.5,76.68,0.783,-2655.655944660614,-4.1354258538694335,2.8056852572416773,-31.108950964859474,1398-12-02,12
71642,IRN,Asia,Iran,2/22/2020,28.0,10.0,7.7548571428571424,5.0,1.0,1.3062857142857143,0.329,0.118,0.7275629921259963,0.059,0.012,0.030988188976377895,1.0029212342184608,280.58075191951275,14.901963595446121,32.28266096713866,60.27131605663905,28.41746815700546,5.724003639199376,328.087370929309,148.77448927720414,17814.159653465336,189790.0,2.232,0.1448131188118812,25940.942046855722,0.17449321824907515,0.18254285714285715,5.50615763546798,people tested,0.0,0.0,100691.0,56539.0,3000.0,3000.0,0.0,0.0,0.12,0.07,35.0,3000.0,0.004,11.11,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051063,1.5,76.68,0.783,-2656.827972330307,-4.137712926934716,2.797842628620838,-31.184481142429746,1398-12-03,12
71643,IRN,Asia,Iran,2/23/2020,43.0,15.0,9.693571428571428,8.0,3.0,1.6328571428571428,0.506,0.176,0.5383753280839869,0.094,0.035,0.02965879265091864,1.0029212342184608,280.4395022504632,14.901129732592004,32.27304301362544,60.2331616350521,28.429685469196777,5.7264645178060825,328.19645221074927,148.7418334657135,17656.79455445544,189790.0,2.232,0.1443490099009901,25632.403205918614,0.17348335388409364,0.18255000000000002,5.50603448275862,people tested,0.0,0.0,100691.0,56539.0,3000.0,3000.0,0.0,0.0,0.12,0.07,35.0,3000.0,0.004,11.11,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051063,1.5,76.68,0.783,-2658.0,-4.14,2.79,-31.26001132,1398-12-04,12
71644,IRN,Asia,Iran,2/24/2020,61.0,18.0,11.632285714285715,12.0,4.0,1.9594285714285715,0.717,0.212,0.34918766404200596,0.141,0.047,0.028329396325459166,1.0029212342184608,280.29825258141386,14.900295869737887,32.26342506011221,60.19500721346513,28.441902781388094,5.728925396412789,328.30553349218957,148.7091776542229,17499.42945544554,189790.0,2.232,0.14388490099009904,25323.864364981506,0.17247348951911212,0.18255714285714286,5.505911330049261,people tested,0.0,0.0,100691.0,56539.0,3000.0,3000.0,0.0,0.0,0.12,0.07,35.0,3000.0,0.004,11.11,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051063,1.5,76.68,0.783,-2629.6428571428573,-4.0371428571428565,2.7600000000000002,-30.926510715714286,1398-12-05,12
71645,IRN,Asia,Iran,2/25/2020,95.0,34.0,13.571,16.0,4.0,2.286,1.117,0.4,0.16,0.188,0.047,0.027,1.0029212342184608,280.1570029123643,14.89946200688377,32.253807106598984,60.156852791878165,28.454120093579412,5.731386275019496,328.41461477362986,148.6765218427323,17342.06435643563,189790.0,2.232,0.14342079207920794,25015.32552404437,0.17146362515413072,0.18256428571428573,5.505788177339902,people tested,0.0,0.0,100691.0,56539.0,3000.0,3000.0,0.0,0.0,0.12,0.07,35.0,3000.0,0.004,11.11,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051063,1.5,76.68,0.783,-2601.285714285714,-3.934285714285714,2.73,-30.593010111428573,1398-12-06,12
71646,IRN,Asia,Iran,2/26/2020,139.0,44.0,19.571,19.0,3.0,2.429,1.635,0.517,0.23,0.223,0.035,0.029,1.0029212342184608,280.01575324331475,14.898628144029653,32.24418915308576,60.11869837029121,28.46633740577073,5.733847153626202,328.52369605507016,148.6438660312417,17184.69925742573,189790.0,2.232,0.14295668316831683,24706.78668310726,0.1704537607891492,0.18257142857142858,5.505665024630542,people tested,0.0,0.0,100691.0,56539.0,3000.0,3000.0,0.0,0.0,0.12,0.07,35.0,3000.0,0.004,20.37,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051063,1.5,76.68,0.783,-2572.9285714285716,-3.831428571428571,2.7,-30.25950950714286,1398-12-07,12
71647,IRN,Asia,Iran,2/27/2020,245.0,106.0,34.286,26.0,7.0,3.429,2.881,1.247,0.403,0.306,0.082,0.04,4.92,279.8745035742652,14.897794281175536,32.23457119957254,60.080543948704246,28.478554717962048,5.736308032232909,328.63277733651046,148.61121021975111,17027.334158415833,189790.0,2.232,0.14249257425742573,24398.247842170153,0.16944389642416768,0.18257857142857142,5.505541871921182,people tested,0.0,0.0,100691.0,56539.0,3000.0,3000.0,0.0,0.0,0.12,0.07,35.0,3000.0,0.004,20.37,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051063,1.5,76.68,0.783,-2544.5714285714284,-3.728571428571428,2.67,-29.92600890285714,1398-12-08,12
71648,IRN,Asia,Iran,2/28/2020,388.0,143.0,52.857,34.0,8.0,4.286,4.563,1.682,0.622,0.4,0.094,0.05,4.61,279.73325390521563,14.896960418321418,32.224953246059314,60.04238952711728,28.490772030153366,5.738768910839616,328.74185861795075,148.57855440826052,16869.969059405936,189790.0,2.232,0.14202846534653468,24089.709001233045,0.16843403205918617,0.1825857142857143,5.505418719211822,people tested,0.0,0.0,100691.0,56539.0,3000.0,3000.0,0.0,0.0,0.12,0.07,35.0,3000.0,0.004,20.37,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051063,1.5,76.68,0.783,-2516.214285714286,-3.6257142857142854,2.64,-29.592508298571428,1398-12-09,12
